fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"243",,116.424275589319,,595.32134337884,694073.871347225,6498134.37088017,694606.995476941,6497869.4441654,4.6
"244",,100.604933853156,,781.970994432043,692847.358778861,6498487.60649985,693615.973321702,6498343.69569183,4.9
"245",,166.587642358102,,437.112896868918,693635.597522796,6498585.72750532,693736.989228448,6498160.53648162,4.2
"246",,36.8019311539935,,551.44043871972,692732.88427248,6498477.79439931,693063.224990893,6498919.33892392,4.5
"247",,103.877529803095,,286.368432698546,692984.728186517,6499154.82933704,693262.737702013,6499086.14463322,3.8
"248",,20.1858030094913,,236.962171777373,693413.189910399,6499262.76244306,693331.422405842,6499040.35483066,3.5
"249",,114.179107146658,,351.352978550519,693377.212208394,6499239.86754178,693697.74082626,6499095.95673376,4
"250",,60.3408907639681,,270.994830247166,693648.680323525,6499037.08413048,693884.170736651,6499171.18283796,3.7
"251",,83.9909940425148,,1124.75950640841,694495.791670742,6499007.64782884,695614.371133091,6499125.3930354,5.3
"252",,105.599085802777,,668.968134546624,695591.476231815,6499207.16053996,696235.804167729,6499027.27202993,4.7
"253",,80.6900598250246,,202.175838979133,695401.775621241,6498438.54599712,695601.288332362,6498471.25299894,3.4
"254",,52.5946433686493,,139.992081127425,695516.250127622,6498294.6351891,695627.45393382,6498379.67339384,3
"255",,56.2622257577067,,1089.46232642358,695617.641833273,6498124.55877962,696523.625783772,6498729.63831334,5.3
"256",,103.172553423472,,157.876938342256,696180.20226463,6498291.36448892,696333.925173198,6498255.38678691,3.1
"257",,101.82148834077,,143.687632687415,696340.466573563,6498382.94409402,696481.106681402,6498353.50779238,3
"258",,60.1908857932707,,723.734340193832,695764.823341477,6498428.73389657,696392.79777648,6498788.51091663,4.8
"259",,150.03781590357,,320.895527273431,693053.412890346,6497555.4569479,693213.677199279,6497277.4474324,3.9
"260",,56.8042755093058,,1051.401663473,695941.441151321,6496499.02078901,696821.259500362,6497074.6640211,5.2
"261",,66.5014343240803,,492.172459541478,695640.536734549,6496727.96980177,696091.893359707,6496924.21181271,4.4
"262",,166.383191056353,,1083.62398911732,695280.759714496,6498605.35170642,695535.874328715,6497552.18624771,5.2
"263",,102.191336470632,,542.078471625187,694780.342586603,6497575.08114899,695310.196016136,6497460.60664261,4.5
"264",,109.173678681631,,2887.96714305486,690312.566137574,6500741.11892546,693040.330089617,6499792.61587259,6.3
"265",,91.0341075448818,,1812.26306650338,693301.986104201,6499897.27827843,695113.954005198,6499864.5712766,5.8
"266",,108.758650347951,,366.143162412851,697495.023737916,6498922.6096241,697841.717957241,6498804.86441754,4
"267",,103.851419013891,,491.824572974474,698051.042768908,6498916.06822374,698528.564995525,6498798.32301717,4.4
"268",,59.2645122980408,,563.168604973693,697076.374114581,6498687.11921097,697560.437741562,6498974.94082702,4.5
"269",,58.079123780008,,470.116932519271,697769.76255323,6498745.99181426,698168.787975471,6498994.56502811,4.3
"270",,83.6010433726416,,704.317774756829,689625.71909929,6499910.36107916,690325.648938303,6499988.85788353,4.8
